,0
wine,82803
flavor,70024
fruit,55229
aroma,40982
finish,40235
acid,39140
palat,37307
tannin,31441
cherri,30847
ripe,28738
note,24447
dri,23548
rich,22756
fresh,22161
show,18384
black,18055
spice,17547
red,17230
offer,16079
berri,15629
textur,15355
nose,15155
soft,14972
sweet,14776
plum,14604
drink,14441
light,14304
oak,14229
blackberri,14163
balanc,14131
crisp,13449
structur,12865
fruiti,11924
bright,11502
hint,11174
blend,10573
touch,10459
give,10442
citrus,10269
miner,10184
juici,10100
veri,10083
firm,10036
raspberri,9850
vanilla,9842
concentr,9269
well,9227
dark,9173
herb,9130
feel,8872
age,8780
good,8472
appl,8346
charact,8223
open,8000
complex,7976
full,7860
smooth,7764
eleg,7539
spici,7437
round,7025
intens,6793
peach,6765
make,6675
tart,6632
pear,6587
white,6421
fine,6400
bottl,6373
herbal,6170
also,6141
green,6124
come,6114
toast,5971
dens,5879
creami,5867
licoric,5846
tannic,5752
tast,5751
layer,5669
clean,5635
power,5534
earthi,5513
tight,5507
mouth,5500
delici,5447
along,5354
savori,5303
like,5248
slight,5156
chocol,5124
bit,5100
year,5096
fullbodi,5055
long,5036
style,5008
honey,4834
deliv,4779
vineyard,4717
mouthfeel,4700
merlot,4692
cabernet_sauvignon,4685
yet,4663
made,4636
chardonnay,4633
nice,4631
lemon,4556
accent,4516
alongsid,4463
still,4452
syrah,4418
great,4416
live,4413
smoki,4406
refresh,4402
cassi,4397
leather,4277
one,4196
apricot,4170
readi_drink,4144
attract,4131
tobacco,4098
grape,4086
linger,4042
strawberri,4010
cola,3997
wood,3933
scent,3913
suggest,3851
lead,3851
floral,3792
simpl,3774
edg,3747
tropic,3733
melon,3722
solid,3721
pineappl,3697
produc,3676
perfum,3668
strong,3664
follow,3628
generous,3620
core,3608
littl,3589
bring,3584
aromat,3575
mix,3548
almost,3463
lime,3410
plenti,3407
clove,3404
big,3394
tone,3379
toasti,3377
pepper,3364
tangi,3347
candi,3306
matur,3306
domin,3290
blueberri,3277
delic,3249
impress,3245
black_currant,3203
pinot_noir,3192
seem,3181
pretti,3180
grapefruit,3174
beauti,3172
quit,3124
young,3082
coffe,3076
cranberri,3058
close,3048
end,3031
vintag,2976
silki,2956
zesti,2934
cabernet,2920
cedar,2898
smoke,2888
lot,2847
aftertast,2834
weight,2833
mocha,2833
lush,2805
oaki,2799
jammi,2791
barrel,2751
back,2749
currant,2737
black_pepper,2720
warm,2687
cinnamon,2678
caramel,2668
vibrant,2653
mediumbodi,2632
bake,2619
easi,2615
orang,2609
whiff,2596
enough,2588
bitter,2549
white_pepper,2537
much,2534
dusti,2529
carri,2504
although,2498
add,2496
subtl,2493
frame,2484
provid,2475
enjoy,2471
love,2470
thick,2459
color,2438
earth,2430
combin,2402
time,2389
bold,2381
green_appl,2365
bake_spice,2345
lean,2318
polish,2312
express,2309
lift,2298
best,2297
cabernet_franc,2283
cut,2263
element,2262
brisk,2261
pack,2261
qualiti,2235
espresso,2227
deep,2222
mint,2213
depth,2208
full_bodi,2200
pure,2196
yellow,2193
bouquet,2174
sour,2173
heavi,2168
mark,2153
malbec,2127
keep,2122
hard,2092
forward,2066
wineri,2057
support,2056
chewi,2052
start,2045
even,2040
stone_fruit,2036
sharp,2028
suppl,2020
pleasant,1990
violet,1976
focus,1972
velveti,1972
tangerin,1969
riesl,1968
pinot,1946
side,1935
go,1932
appeal,1928
drink_2018,1887
nt,1885
wild,1873
pepperi,1868
anis,1866
sauvignon_blanc,1865
crush,1863
mild,1862
rosé,1845
flower,1825
fragrant,1824
lend,1807
first,1801
rather,1795
doe,1780
astring,1774
right,1769
bodi,1769
red_currant,1759
streak,1754
integr,1725
develop,1723
varieti,1708
white_peach,1696
smell,1688
onli,1680
nuanc,1679
classic,1678
high,1676
includ,1663
glass,1651
lead_nose,1641
pair,1638
dark_chocol,1638
approach,1631
interest,1631
estat,1622
overal,1583
leav,1564
way,1544
straightforward,1543
opul,1542
roast,1541
extract,1537
sens,1528
plump,1520
midpal,1514
prune,1510
doe_nt,1497
gentl,1494
wood_age,1492
sip,1490
alreadi,1476
nectarin,1464
raci,1460
though,1460
turn,1458
get,1450
cellar,1446
petit_verdot,1434
exot,1426
perfect,1424
need,1423
drink_2017,1422
almond,1417
rustic,1415
befor,1392
raisin,1386
despit,1383
alcohol,1383
remain,1378
fleshi,1374
load,1374
take,1364
play,1352
wild_berri,1348
soften,1345
sage,1342
hold,1342
last,1341
featur,1339
cocoa,1334
blossom,1331
highlight,1330
lack,1329
boast,1325
plush,1318
char,1317
price,1317
length,1302
citrusi,1302
lemoni,1300
set,1290
graphit,1290
natur,1269
food,1268
medium_bodi,1263
chunki,1257
raw,1256
persist,1256
drink_2020,1252
wonder,1250
brambl,1245
meati,1241
new,1241
robust,1234
somewhat,1225
appel,1211
grip,1211
ampl,1209
intrigu,1203
excel,1202
honeysuckl,1194
present,1190
